,city,hotel_name,people_number,days_number,price,staff,amenities,cleanliness,comfort,value_for_money,location,free_wifi,average_opinion
1,Barcelona,ABaC Restaurant Hotel Barcelona GL Monumento,1,1,1494.0,9.5,9.2,9.5,9.5,8.6,8.9,8.8,9.2
2,Barcelona,Sonder La Casa del Sol,1,1,620.0,7.8,7.9,8.5,8.4,7.5,9.2,8.3,7.8
3,Barcelona,Travelodge Barcelona Poblenou,1,1,265.0,8.2,7.0,7.9,7.6,7.2,8.2,,7.3
4,Barcelona,Catalonia La Maquinista,1,1,369.0,9.1,8.6,9.0,8.9,8.1,8.1,8.3,8.5
5,Barcelona,Unite Hostel Barcelona,1,1,105.0,8.4,8.4,8.4,8.3,8.2,8.7,8.9,8.2
6,Barcelona,Generator Barcelona,1,1,100.0,8.5,8.0,8.0,7.9,7.7,8.8,6.9,7.7
7,Barcelona,Hotel Paxton Barcelona,1,1,682.0,9.2,8.9,9.2,9.2,8.3,8.3,8.4,8.7
8,Barcelona,NH Barcelona Les Corts,1,1,359.0,9.0,8.5,8.9,8.8,8.1,8.5,7.9,8.4
9,Barcelona,Ilunion Les Corts Spa,1,1,380.0,8.8,8.0,8.4,8.4,7.6,8.0,8.1,7.9
10,Barcelona,Catalonia Atenas,1,1,369.0,9.1,8.3,8.6,8.6,8.0,8.4,7.7,8.2
11,Barcelona,NH Barcelona Entenza,1,1,518.0,9.2,8.3,8.8,8.7,7.9,8.3,8.2,8.3
12,Barcelona,Vincci Maritimo,1,1,521.0,8.8,8.4,8.8,8.8,8.0,8.2,8.7,8.3
13,Barcelona,Vincci Bit,1,1,571.0,8.9,8.6,9.0,9.0,8.2,8.1,8.5,8.4
14,Barcelona,Catalonia Barcelona Plaza,1,1,499.0,8.7,8.7,8.8,8.8,8.0,9.3,7.9,8.5
15,Barcelona,NH Sants Barcelona,1,1,490.0,9.0,8.7,9.1,9.0,8.2,8.7,8.0,8.5
16,Barcelona,Bonanova Park,1,1,318.0,8.4,7.4,8.2,7.9,7.3,8.2,8.1,7.5
17,Barcelona,Mercure Barcelona Condor,1,1,412.0,8.7,8.3,8.6,8.6,8.0,8.2,7.9,8.2
18,Barcelona,Hotel Serhs del Port,1,1,465.0,9.3,7.9,8.4,8.3,7.7,8.7,8.7,8.0
19,Barcelona,NH Barcelona Stadium,1,1,356.0,8.9,8.2,8.6,8.6,7.7,8.5,7.9,8.2
20,Barcelona,Melia Barcelona Sky 4* Sup,1,1,647.0,8.8,8.5,8.7,8.7,7.9,8.2,,8.2
21,Barcelona,Free Hostels Barcelona,1,1,118.0,9.1,8.3,8.3,8.2,8.3,8.4,8.6,8.2
22,Barcelona,Hotel & Spa Villa Olimpica Suites,1,1,490.0,8.6,8.3,8.3,8.4,7.7,7.6,8.6,8.0
23,Barcelona,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,1,1,408.0,9.0,8.4,8.9,8.8,8.0,9.0,8.7,8.4
24,Barcelona,Gran Hotel La Florida G.L Monumento,1,1,1052.0,9.2,8.6,9.1,9.1,8.2,8.8,8.6,8.7
25,Barcelona,Occidental Atenea Mar - Adults Only,1,1,499.0,8.6,8.2,8.6,8.7,7.8,8.4,8.6,8.1
26,Barcelona,Catalonia Park Güell,1,1,279.0,8.5,7.8,8.3,8.1,7.6,7.5,7.7,7.7
27,Barcelona,Room Mate Anna,2,1,931.0,9.3,8.7,8.9,9.0,8.3,9.6,8.4,8.7
28,Barcelona,Sonder La Casa del Sol,2,1,617.0,7.8,7.9,8.5,8.4,7.5,9.2,8.3,7.8
29,Barcelona,H Regas Adults Only,2,1,388.0,8.6,7.5,7.9,7.8,7.4,8.3,7.5,7.5
30,Barcelona,BYPILLOW House,2,1,344.0,9.1,8.6,8.9,8.9,8.5,8.1,8.8,8.5
31,Barcelona,Vincci Bit,2,1,388.0,8.9,8.6,9.0,9.0,8.2,8.1,8.5,8.4
32,Barcelona,Vincci Maritimo,2,1,418.0,8.8,8.4,8.8,8.8,8.0,8.2,8.7,8.3
33,Barcelona,Acta Voraport,2,1,462.0,9.0,8.7,9.1,9.1,8.5,8.5,8.8,8.7
34,Barcelona,Gran Hotel La Florida G.L Monumento,2,1,1059.0,9.2,8.6,9.1,9.1,8.2,8.8,8.6,8.7
35,Barcelona,Generator Barcelona,2,1,496.0,8.5,8.0,8.0,7.9,7.7,8.8,6.9,7.7
36,Barcelona,Catalonia La Maquinista,2,1,390.0,9.1,8.6,9.0,8.9,8.1,8.1,8.3,8.5
37,Barcelona,NH Barcelona Entenza,2,1,401.0,9.2,8.3,8.8,8.7,7.9,8.3,8.2,8.3
38,Barcelona,Mercure Barcelona Condor,2,1,434.0,8.7,8.3,8.6,8.6,8.0,8.2,7.9,8.2
39,Barcelona,The Mirror Barcelona - Adults Only,2,1,820.0,9.4,8.3,8.6,8.5,8.0,8.9,8.7,8.3
40,Barcelona,Hotel Concordia Barcelona,2,1,455.0,9.0,8.2,8.6,8.5,7.7,8.8,8.2,8.1
41,Barcelona,NH Sants Barcelona,2,1,494.0,9.0,8.7,9.1,9.0,8.2,8.7,8.0,8.5
42,Barcelona,Silken Sant Gervasi,2,1,373.0,9.0,8.3,8.8,8.7,8.2,8.4,8.1,8.3
43,Barcelona,Casa Lit Barcelona by Ona,2,1,470.0,9.2,8.1,8.6,8.5,8.1,8.2,7.9,8.2
44,Barcelona,Hotel Paxton Barcelona,2,1,703.0,9.2,8.9,9.2,9.2,8.3,8.3,8.4,8.7
45,Barcelona,Occidental Atenea Mar - Adults Only,2,1,520.0,8.6,8.2,8.6,8.7,7.8,8.4,8.6,8.1
46,Barcelona,Catalonia Barcelona Plaza,2,1,520.0,8.7,8.7,8.8,8.8,8.0,9.3,7.9,8.5
47,Barcelona,Catalonia Sagrada Familia,2,1,383.0,8.8,8.3,8.6,8.5,8.0,8.4,8.3,8.2
48,Barcelona,Ilunion Les Corts Spa,2,1,423.0,8.8,8.0,8.4,8.4,7.6,8.0,8.1,7.9
49,Barcelona,Catalonia Atenas,2,1,477.0,9.1,8.3,8.6,8.6,8.0,8.4,7.7,8.2
50,Barcelona,Hotel SB Diagonal Zero 4 Sup,2,1,520.0,8.4,8.1,8.4,8.5,7.7,8.3,8.4,7.9
51,Barcelona,NH Collection Barcelona Constanza,2,1,590.0,8.9,8.7,9.0,9.0,8.1,8.6,8.3,8.5
52,Barcelona,Room Mate Anna,2,2,1763.0,9.3,8.7,8.9,9.0,8.3,9.6,8.4,8.7
53,Barcelona,Sonder Paseo de Gracia,2,2,2010.0,9.1,8.3,8.8,8.9,8.2,9.7,8.7,8.4
54,Barcelona,H Regas Adults Only,2,2,836.0,8.6,7.5,7.9,7.8,7.4,8.3,7.5,7.5
55,Barcelona,Acta Voraport,2,2,888.0,9.0,8.7,9.1,9.1,8.5,8.5,8.8,8.7
56,Barcelona,Travelodge Barcelona Poblenou,2,2,562.0,8.2,7.0,7.9,7.6,7.2,8.2,,7.3
57,Barcelona,Vincci Maritimo,2,2,969.0,8.8,8.4,8.8,8.8,8.0,8.2,8.7,8.3
58,Barcelona,Vincci Bit,2,2,776.0,8.9,8.6,9.0,9.0,8.2,8.1,8.5,8.4
59,Barcelona,Generator Barcelona,2,2,1075.0,8.5,8.0,8.0,7.9,7.7,8.8,6.9,7.7
60,Barcelona,BYPILLOW House,2,2,793.0,9.1,8.6,8.9,8.9,8.5,8.1,8.8,8.5
61,Barcelona,Hotel Paxton Barcelona,2,2,1211.0,9.2,8.9,9.2,9.2,8.3,8.3,8.4,8.7
62,Barcelona,Gran Hotel La Florida G.L Monumento,2,2,1650.0,9.2,8.6,9.1,9.1,8.2,8.8,8.6,8.7
63,Barcelona,Catalonia Sagrada Familia,2,2,810.0,8.8,8.3,8.6,8.5,8.0,8.4,8.3,8.2
64,Barcelona,Occidental Atenea Mar - Adults Only,2,2,1041.0,8.6,8.2,8.6,8.7,7.8,8.4,8.6,8.1
65,Barcelona,NH Sants Barcelona,2,2,954.0,9.0,8.7,9.1,9.0,8.2,8.7,8.0,8.5
66,Barcelona,Hostal Orleans,2,2,716.0,9.2,8.4,9.0,8.8,8.8,9.5,8.6,8.6
67,Barcelona,Casual Colours Barcelona,2,2,767.0,8.9,8.0,8.4,8.4,7.8,8.4,8.2,8.0
68,Barcelona,Hotel Concordia Barcelona,2,2,910.0,9.0,8.2,8.6,8.5,7.7,8.8,8.2,8.2
69,Barcelona,Mercure Barcelona Condor,2,2,867.0,8.7,8.3,8.6,8.6,8.0,8.2,7.9,8.2
70,Barcelona,Catalonia Atenas,2,2,954.0,9.1,8.3,8.6,8.6,8.0,8.4,7.7,8.2
71,Barcelona,Melia Barcelona Sky 4* Sup,2,2,1197.0,8.8,8.5,8.7,8.7,7.9,8.2,,8.2
