czas,Wroclaw - pwr,a,b
21.08, 11:23,126,,
21.08, 11:26,124,,
21.08, 11:29,125,,
21.08, 11:32,125,,
21.08, 11:35,124,,
21.08, 11:38,124,,
21.08, 11:42,124,,
21.08, 11:45,125,,
21.08, 11:48,125,,
21.08, 11:51,125,,
21.08, 11:54,125,,
21.08, 11:57,124,,
21.08, 12:01,125,,
21.08, 12:04,124,,
21.08, 12:07,124,,
21.08, 12:10,125,,
21.08, 12:13,125,,
21.08, 12:16,125,,
21.08, 12:20,125,,
21.08, 12:23,124,,
21.08, 12:26,125,,
21.08, 12:29,124,,
21.08, 12:32,125,,
21.08, 12:35,125,,
21.08, 12:38,125,,
21.08, 12:41,124,,
21.08, 12:45,124,,
21.08, 12:48,124,,
21.08, 12:51,124,,
21.08, 12:54,124,,
21.08, 12:57,124,,
21.08, 13:00,124,,
21.08, 13:03,124,,
21.08, 13:07,123,,
21.08, 13:10,124,,
21.08, 13:13,124,,
21.08, 13:16,124,,
21.08, 13:19,125,,
21.08, 13:22,125,,
21.08, 13:25,125,,
21.08, 13:29,125,,
21.08, 13:32,125,,
21.08, 13:35,125,,
21.08, 13:38,125,,
21.08, 13:41,124,,
21.08, 13:44,123,,
21.08, 13:47,125,,
21.08, 13:50,124,,
21.08, 13:54,124,,
21.08, 13:57,124,,
21.08, 14:00,124,,
21.08, 14:03,125,,
21.08, 14:06,125,,
21.08, 14:09,127,,
21.08, 14:13,126,,
21.08, 14:16,128,,
21.08, 14:19,128,,
21.08, 14:22,127,,
21.08, 14:25,127,,
21.08, 14:29,128,,
21.08, 14:32,129,,
21.08, 14:35,129,,
21.08, 14:38,180,,
21.08, 14:41,180,,
21.08, 14:44,129,,
21.08, 14:48,180,,
21.08, 14:51,180,,
21.08, 14:54,129,,
21.08, 14:57,128,,
21.08, 15:00,181,,
21.08, 15:03,180,,
21.08, 15:07,128,,
21.08, 15:10,180,,
21.08, 15:13,129,,
21.08, 15:16,129,,
21.08, 15:19,180,,
21.08, 15:22,180,,
21.08, 15:26,182,,
21.08, 15:29,180,,
21.08, 15:32,181,,
21.08, 15:35,181,,
21.08, 15:38,182,,
21.08, 15:41,182,,
21.08, 15:45,181,,
21.08, 15:48,182,,
21.08, 15:51,183,,
21.08, 15:54,181,,
21.08, 15:57,183,,
21.08, 16:00,183,,
21.08, 16:04,182,,
21.08, 16:07,181,,
21.08, 16:10,181,,
21.08, 16:13,183,,
21.08, 16:16,183,,
21.08, 16:19,184,,
21.08, 16:23,182,,
21.08, 16:26,184,,
21.08, 16:29,185,,
21.08, 16:32,182,,
21.08, 16:35,184,,
21.08, 16:38,183,,
21.08, 16:42,182,,
21.08, 16:45,182,,
21.08, 16:48,183,,
21.08, 16:51,181,,
21.08, 16:54,182,,
21.08, 16:57,181,,
21.08, 17:01,182,,
21.08, 17:04,183,,
21.08, 17:07,183,,
21.08, 17:10,181,,
21.08, 17:13,181,,
21.08, 17:16,180,,
21.08, 17:20,129,,
21.08, 17:23,127,,
21.08, 17:26,129,,
21.08, 17:29,129,,
21.08, 17:32,180,,
21.08, 17:35,129,,
21.08, 17:38,127,,
21.08, 17:42,127,,
21.08, 17:45,125,,
21.08, 17:48,125,,
21.08, 17:51,124,,
21.08, 17:54,124,,
21.08, 17:57,124,,
21.08, 18:01,124,,
21.08, 18:04,123,,
21.08, 18:07,123,,
21.08, 18:10,124,,
21.08, 18:13,125,,
21.08, 18:16,124,,
21.08, 18:20,124,,
21.08, 18:23,125,,
21.08, 18:26,125,,
21.08, 18:30,124,,
21.08, 18:33,123,,
21.08, 18:36,124,,
21.08, 18:39,124,,
21.08, 18:43,122,,
21.08, 18:46,124,,
21.08, 18:49,123,,
21.08, 18:52,123,,
21.08, 18:55,123,,
21.08, 18:58,123,,
21.08, 19:01,123,,
21.08, 19:04,123,,
21.08, 19:08,123,,
21.08, 19:11,123,,
21.08, 19:14,127,,
21.08, 19:17,127,,
21.08, 19:20,126,,
21.08, 19:23,127,,
21.08, 19:26,125,,
21.08, 19:30,125,,
21.08, 19:33,125,,
21.08, 19:36,123,,
21.08, 19:39,123,,
21.08, 19:42,123,,
21.08, 19:45,122,,
21.08, 19:48,122,,
21.08, 19:52,121,,
21.08, 19:55,121,,
21.08, 19:58,121,,
