czas,Bielany - pwr
"23.08, 6:23",1
"23.08, 6:26",2
"23.08, 6:30",2
"23.08, 6:33",2
"23.08, 6:36",2
"23.08, 6:39",2
"23.08, 6:42",2
"23.08, 6:45",2
"23.08, 6:49",2
"23.08, 6:52",2
"23.08, 6:55",2
"23.08, 6:58",2
"23.08, 7:01",2
"23.08, 7:04",2
"23.08, 7:08",2
"23.08, 7:11",2
"23.08, 7:14",2
"23.08, 7:17",2
"23.08, 7:20",2
"23.08, 7:23",2
"23.08, 7:27",2
"23.08, 7:30",2
"23.08, 7:33",2
"23.08, 7:36",2
"23.08, 7:39",2
"23.08, 7:42",2
"23.08, 7:46",2
"23.08, 7:49",2
"23.08, 7:52",2
"23.08, 7:55",2
"23.08, 7:58",2
